pay_level,cell_number,basic_pay
10,1,57700
10,2,59400
10,3,61200
10,4,63000
10,5,64900
10,6,66800
10,7,68800
10,8,70900
10,9,73000
10,10,75200
10,11,77500
10,12,79800
10,13,82200
10,14,84700
10,15,87200
10,16,89800
10,17,92500
10,18,95300
10,19,98200
10,20,101100
10,21,104100
10,22,107200
10,23,110400
10,24,113700
10,25,117100
10,26,120600
10,27,124200
10,28,127900
10,29,131700
10,30,135700
10,31,139800
10,32,144000
10,33,148300
10,34,152700
10,35,157300
10,36,162000
10,37,166900
10,38,171900
10,39,177100
10,40,182400
11,1,68900
11,2,71000
11,3,73100
11,4,75300
11,5,77600
11,6,79900
11,7,82300
11,8,84800
11,9,87300
11,10,89900
11,11,92600
11,12,95400
11,13,98300
11,14,101200
11,15,104200
11,16,107300
11,17,110500
11,18,113800
11,19,117200
11,20,120700
11,21,124300
11,22,128000
11,23,131800
11,24,135800
11,25,139900
11,26,144100
11,27,148400
11,28,152900
11,29,157500
11,30,162200
11,31,167100
11,32,172100
11,33,177300
11,34,182600
11,35,188100
11,36,193700
11,37,199500
11,38,205500
11,39,211700
11,40,218100
12,1,79800
12,2,82200
12,3,84700
12,4,87200
12,5,89800
12,6,92500
12,7,95300
12,8,98200
12,9,101100
12,10,104100
12,11,107200
12,12,110400
12,13,113700
12,14,117100
12,15,120600
12,16,124200
12,17,127900
12,18,131700
12,19,135700
12,20,139800
12,21,144000
12,22,148300
12,23,152700
12,24,157300
12,25,162000
12,26,166900
12,27,171900
12,28,177100
12,29,182400
12,30,187900
12,31,193500
12,32,199300
12,33,205300
12,34,211500
12,35,217800
12,36,224300
12,37,231000
12,38,237900
12,39,245000
12,40,252400
13A1,1,131400
13A1,2,135300
13A1,3,139400
13A1,4,143600
13A1,5,147900
13A1,6,152300
13A1,7,156900
13A1,8,161600
13A1,9,166400
13A1,10,171400
13A1,11,176500
13A1,12,181800
13A1,13,187300
13A1,14,192900
13A1,15,198700
13A1,16,204700
13A1,17,210800
13A1,18,217100
13A1,19,223600
13A1,20,230300
13A1,21,237200
13A1,22,244300
13A1,23,251600
13A1,24,259100
13A1,25,266900
13A1,26,274900
13A1,27,283100
13A1,28,291600
13A1,29,300300
13A1,30,309300
13A1,31,318600
13A1,32,328200
13A1,33,338000
13A1,34,348100
13A1,35,358500
13A1,36,369300
13A1,37,380400
13A1,38,391800
13A1,39,403600
13A1,40,415700
14,1,144200
14,2,148500
14,3,153000
14,4,157600
14,5,162300
14,6,167200
14,7,172200
14,8,177400
14,9,182700
14,10,188200
14,11,193800
14,12,199600
14,13,205600
14,14,211800
14,15,218200
14,16,224700
14,17,231400
14,18,238300
14,19,245400
14,20,252800
14,21,260400
14,22,268200
14,23,276200
14,24,284500
14,25,293000
14,26,301800
14,27,310900
14,28,320200
14,29,329800
14,30,339700
14,31,349900
14,32,360400
14,33,371200
14,34,382300
14,35,393800
14,36,405600
14,37,417800
14,38,430300
14,39,443200
14,40,456500
15,1,182200
15,2,187700
15,3,193300
15,4,199100
15,5,205100
15,6,211300
15,7,217600
15,8,224100
15,9,230800
15,10,237700
15,11,244800
15,12,252100
15,13,259700
15,14,267500
15,15,275500
15,16,283800
15,17,292300
15,18,301100
15,19,310100
15,20,319400
15,21,329000
15,22,338900
15,23,349100
15,24,359600
15,25,370400
15,26,381500
15,27,392900
15,28,404700
15,29,416800
15,30,429300
15,31,442200
15,32,455500
15,33,469200
15,34,483300
15,35,497800
15,36,512700
15,37,528100
15,38,543900
15,39,560200
15,40,577000
